LINE 205 : 2021-04-07 18:49:06,649 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 1271: 2021-04-07 18:49:10,228 [DEBUG   ] findfont: score(<Font 'DejaVu Sans' (DejaVuSans-ExtraLight.ttf) normal normal light normal>) = 0.24
LINE 1271: 2021-04-07 18:49:10,228 [DEBUG   ] findfont: score(<Font 'mry_KacstQurn' (mry_KacstQurn.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,228 [DEBUG   ] findfont: score(<Font 'STIXNonUnicode' (STIXNonUnicode-Italic.otf) italic normal 400 normal>) = 11.05
LINE 1271: 2021-04-07 18:49:10,228 [DEBUG   ] findfont: score(<Font 'Georgia' (Georgia.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,228 [DEBUG   ] findfont: score(<Font 'STIXGeneral' (STIXGeneral-Regular.otf) normal normal regular normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,229 [DEBUG   ] findfont: score(<Font 'Times New Roman' (timesi.ttf) italic normal roman normal>) = 11.145
LINE 1271: 2021-04-07 18:49:10,229 [DEBUG   ] findfont: score(<Font 'Tlwg Typo' (TlwgTypo-BoldOblique.ttf) oblique normal bold normal>) = 11.335
LINE 1271: 2021-04-07 18:49:10,229 [DEBUG   ] findfont: score(<Font 'KacstDigital' (KacstDigital.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,229 [DEBUG   ] findfont: score(<Font 'STIXIntegralsUpSm' (STIXIntegralsUpSm-Bold.otf) normal normal bold normal>) = 10.335
LINE 1271: 2021-04-07 18:49:10,229 [DEBUG   ] findfont: score(<Font 'Garuda' (Garuda-BoldOblique.ttf) oblique normal bold normal>) = 11.335
LINE 1271: 2021-04-07 18:49:10,229 [DEBUG   ] findfont: score(<Font 'KacstQurn' (KacstQurn.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,229 [DEBUG   ] findfont: score(<Font 'FreeSans' (FreeSans.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,229 [DEBUG   ] findfont: score(<Font 'Noto Sans CJK JP' (NotoSansCJK-Medium.ttc) normal normal medium normal>) = 10.145
LINE 1271: 2021-04-07 18:49:10,229 [DEBUG   ] findfont: score(<Font 'DejaVu Sans' (DejaVuSansCondensed-Bold.ttf) normal normal bold condensed>) = 0.5349999999999999
LINE 1271: 2021-04-07 18:49:10,229 [DEBUG   ] findfont: score(<Font 'STIXIntegralsD' (STIXIntegralsD-Bold.otf) normal normal bold normal>) = 10.335
LINE 1271: 2021-04-07 18:49:10,229 [DEBUG   ] findfont: score(<Font 'Times New Roman' (timesbd.ttf) normal normal roman normal>) = 10.145
LINE 1271: 2021-04-07 18:49:10,229 [DEBUG   ] findfont: score(<Font 'KacstOne' (KacstOne.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,229 [DEBUG   ] findfont: score(<Font 'Laksaman' (Laksaman-BoldItalic.ttf) italic normal bold normal>) = 11.335
LINE 1271: 2021-04-07 18:49:10,229 [DEBUG   ] findfont: score(<Font 'Liberation Serif' (LiberationSerif-Bold.ttf) normal normal bold normal>) = 10.335
LINE 1271: 2021-04-07 18:49:10,229 [DEBUG   ] findfont: score(<Font 'NanumMyeongjo' (NanumMyeongjoBold.ttf) normal normal bold normal>) = 10.335
LINE 1271: 2021-04-07 18:49:10,229 [DEBUG   ] findfont: score(<Font 'Umpush' (Umpush-Bold.ttf) normal normal bold normal>) = 10.335
LINE 1271: 2021-04-07 18:49:10,229 [DEBUG   ] findfont: score(<Font 'Verdana' (verdana.ttf) normal normal 400 normal>) = 3.6863636363636365
LINE 1271: 2021-04-07 18:49:10,229 [DEBUG   ] findfont: score(<Font 'STIXSizeOneSym' (STIXSizeOneSym-Regular.otf) normal normal regular normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,230 [DEBUG   ] findfont: score(<Font 'Tlwg Mono' (TlwgMono-BoldOblique.ttf) oblique normal bold normal>) = 11.335
LINE 1271: 2021-04-07 18:49:10,230 [DEBUG   ] findfont: score(<Font 'Purisa' (Purisa-BoldOblique.ttf) oblique normal bold normal>) = 11.335
LINE 1271: 2021-04-07 18:49:10,230 [DEBUG   ] findfont: score(<Font 'Andale Mono' (Andale_Mono.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,230 [DEBUG   ] findfont: score(<Font 'Saab' (Saab.ttf) normal normal 400 normal>) = 10.05
